rank,hidden_dims,depth,width,lr,weight_decay,dropout,params,best_epoch,total_epochs,test_mse,test_r2,train_r2,overfit_gap,time_sec,Fx_r2,Fx_mae,Fy_r2,Fy_mae,Fz_r2,Fz_mae,Torque_r2,Torque_mae
1,"[128, 128]",2,128,0.001000,0.001000,0.100000,23684,388,489,0.001279,0.998757,0.999232,0.000475,381.500000,0.999423,0.018528,0.997246,0.039864,0.998800,0.026973,0.999559,0.016654
2,"[128, 256, 128]",3,256,0.000500,0.000100,0.100000,73604,459,500,0.001452,0.998591,0.999408,0.000817,478.500000,0.999297,0.021263,0.997013,0.040691,0.998630,0.030159,0.999422,0.019377
3,"[64, 64]",2,64,0.001000,0.001000,0.100000,7748,406,500,0.001654,0.998394,0.998957,0.000563,322.800000,0.999257,0.021152,0.996509,0.045278,0.998527,0.030544,0.999283,0.021100
4,"[64, 64]",2,64,0.001000,0.000100,0.100000,7748,410,500,0.001667,0.998381,0.998970,0.000588,434.400000,0.999353,0.020535,0.996455,0.045405,0.998540,0.029909,0.999178,0.023383
