rank,hidden_dims,depth,width,lr,weight_decay,dropout,params,best_epoch,total_epochs,test_mse,test_r2,train_r2,overfit_gap,time_sec,Fx_r2,Fx_mae,Fy_r2,Fy_mae,Fz_r2,Fz_mae,Torque_r2,Torque_mae
1,"[128, 128]",2,128,0.001000,0.001000,0.100000,23684,483,500,0.001252,0.998783,0.999272,0.000490,350.400000,0.999337,0.019899,0.997305,0.039292,0.998951,0.025134,0.999537,0.017077
2,"[128, 256, 128]",3,256,0.000500,0.000100,0.100000,73604,495,500,0.001511,0.998534,0.999374,0.000840,412.900000,0.999356,0.020753,0.996850,0.040431,0.998540,0.030874,0.999390,0.020002
3,"[64, 64]",2,64,0.001000,0.001000,0.100000,7748,448,500,0.001647,0.998401,0.998902,0.000500,436.900000,0.999152,0.022575,0.996583,0.045555,0.998627,0.030310,0.999243,0.021397
4,"[64, 64]",2,64,0.001000,0.000100,0.100000,7748,472,500,0.001844,0.998211,0.998803,0.000592,382.500000,0.999074,0.023368,0.996227,0.046792,0.998288,0.032792,0.999253,0.022620
