epoch,train_mse,test_mse,train_r2,test_r2,lr
86,0.01388548,0.01689303,0.98611450,0.98207927,0.00100000
87,0.01661460,0.01929821,0.98338538,0.97959423,0.00100000
88,0.01518358,0.01741108,0.98481637,0.98171675,0.00100000
89,0.01509458,0.01796965,0.98490548,0.98101151,0.00100000
90,0.01374636,0.01681648,0.98625362,0.98212987,0.00100000
91,0.01588829,0.01825710,0.98411173,0.98068225,0.00100000
92,0.01339805,0.01575830,0.98660201,0.98329824,0.00100000
93,0.01654554,0.01990283,0.98345447,0.97893387,0.00100000
94,0.01664791,0.02055818,0.98335212,0.97832066,0.00100000
95,0.01455715,0.01719588,0.98544282,0.98179370,0.00100000
96,0.01603519,0.01902105,0.98396480,0.97994494,0.00100000
97,0.01554056,0.01838358,0.98445946,0.98051339,0.00100000
98,0.01454935,0.01783334,0.98545063,0.98112655,0.00100000
99,0.01489223,0.01790525,0.98510778,0.98110330,0.00100000
100,0.01654139,0.01944611,0.98345858,0.97938985,0.00100000
101,0.01334349,0.01649439,0.98665655,0.98256099,0.00100000
102,0.02059552,0.02436115,0.97940445,0.97421837,0.00100000
103,0.01539532,0.01850776,0.98460466,0.98036546,0.00100000
104,0.01511453,0.01790562,0.98488545,0.98106003,0.00100000
105,0.01696937,0.01941876,0.98303062,0.97959876,0.00100000
106,0.01423889,0.01692823,0.98576111,0.98210597,0.00100000
107,0.01424909,0.01714552,0.98575091,0.98181999,0.00100000
108,0.01460818,0.01744876,0.98539186,0.98154259,0.00100000
109,0.01445263,0.01642881,0.98554742,0.98264092,0.00100000
110,0.01717683,0.02051565,0.98282319,0.97836161,0.00100000
111,0.01866322,0.02141580,0.98133677,0.97740483,0.00100000
112,0.01458230,0.01683579,0.98541772,0.98211396,0.00100000
113,0.01352002,0.01679283,0.98648000,0.98221451,0.00100000
114,0.01729286,0.01932590,0.98270714,0.97951877,0.00100000
115,0.01368558,0.01677994,0.98631442,0.98220468,0.00100000
116,0.01373164,0.01673351,0.98626840,0.98225522,0.00100000
117,0.01372434,0.01732683,0.98627561,0.98164654,0.00100000
118,0.01404995,0.01666521,0.98595005,0.98233318,0.00100000
119,0.01424342,0.01654810,0.98575664,0.98245919,0.00100000
120,0.01489201,0.01768659,0.98510796,0.98129547,0.00100000
121,0.01377446,0.01620766,0.98622555,0.98281044,0.00100000
122,0.01444289,0.01726411,0.98555708,0.98164010,0.00100000
123,0.01638061,0.01920018,0.98361939,0.97984809,0.00100000
124,0.01884861,0.02236691,0.98115134,0.97642195,0.00100000
125,0.02001805,0.02251793,0.97998196,0.97639406,0.00100000
126,0.01418922,0.01719377,0.98581076,0.98178196,0.00100000
127,0.01429213,0.01777699,0.98570788,0.98121530,0.00100000
128,0.01263588,0.01591622,0.98736411,0.98306984,0.00100000
129,0.01641563,0.01934704,0.98358434,0.97955251,0.00100000
130,0.01332922,0.01634297,0.98667073,0.98266780,0.00100000
131,0.01542745,0.01906166,0.98457253,0.97980428,0.00100000
132,0.01369211,0.01658231,0.98630786,0.98239678,0.00100000
133,0.01222650,0.01494646,0.98777348,0.98416334,0.00100000
134,0.01846876,0.02134992,0.98153126,0.97763866,0.00100000
