trial,n_experts,hidden_dim,shared_dim,lr,weight_decay,balance_weight,smooth_weight,best_epoch,best_test_loss,final_mae,r2_T,r2_H,r2_My,r2_Q,time_s
2,2,64,64,0.001,0.0001,0.0,0.01,304,-6.184114933013916,0.03438602760434151,0.9997859597206116,0.9979518055915833,0.985975444316864,0.9997837543487549,2343.6126296520233
6,4,64,32,0.0005,0.0001,0.0,0.0,1279,-6.150472640991211,0.03513677790760994,0.9997974634170532,0.9978625774383545,0.984772264957428,0.9997208118438721,2411.3776230812073
13,2,128,32,0.0005,0.0001,0.1,0.01,839,-6.128321170806885,0.03572133183479309,0.9998039603233337,0.9978846311569214,0.9838219285011292,0.9997882843017578,1049.4025943279266
4,4,64,128,0.0005,0.0001,0.1,0.01,397,-6.072443962097168,0.033727455884218216,0.9997946619987488,0.9977134466171265,0.9869202375411987,0.9997498989105225,3102.8577938079834
3,8,128,64,0.0005,0.0001,0.01,0.01,698,-6.040863037109375,0.034659456461668015,0.9997763633728027,0.9978007674217224,0.9857255220413208,0.9997473359107971,17647.12014889717
15,6,64,32,0.001,0.0001,0.0,0.0,439,-6.026178359985352,0.03517484292387962,0.9997850656509399,0.9976922869682312,0.9850550889968872,0.999719500541687,5471.031411409378
11,8,128,64,0.0005,0.0001,0.01,0.0,407,-6.013972282409668,0.03514941781759262,0.9997833967208862,0.997830867767334,0.9849027991294861,0.9997510313987732,17031.120497703552
14,6,256,64,0.001,0.0001,0.1,0.0,631,-6.010147571563721,0.0336252860724926,0.9997832775115967,0.9980711936950684,0.9874914884567261,0.9997670650482178,16855.968356132507
12,6,128,128,0.001,0.001,0.0,0.0,1344,-5.758013725280762,0.04288926720619202,0.9996805787086487,0.9975866675376892,0.9775378108024597,0.9997137784957886,14020.670351743698
0,8,64,32,0.001,0.001,0.0,0.0,1280,-5.694919109344482,0.045375362038612366,0.9996436834335327,0.9973036646842957,0.9740422964096069,0.9996898174285889,8076.633667469025
9,2,128,64,0.001,0.001,0.01,0.0,542,-5.661948204040527,0.042439818382263184,0.9997034072875977,0.9975125789642334,0.9782703518867493,0.9997064471244812,3271.323964357376
10,8,64,64,0.0005,0.001,0.01,0.0,1500,-5.6029534339904785,0.04543896019458771,0.999711275100708,0.9975941181182861,0.9726715087890625,0.9997648596763611,6747.731013774872
1,2,128,64,0.0005,0.001,0.0,0.0,1016,-5.566553115844727,0.04683011770248413,0.9996941685676575,0.9974598288536072,0.9699975252151489,0.9997256994247437,2452.6177225112915
7,2,128,128,0.0005,0.001,0.1,0.0,1216,-5.547932147979736,0.048608191311359406,0.999721884727478,0.9975476264953613,0.9670763611793518,0.9997585415840149,3972.0299060344696
5,4,64,64,0.001,0.001,0.1,0.0,984,-5.486802101135254,0.04161896929144859,0.9997140765190125,0.9972666501998901,0.9798939824104309,0.9997385740280151,3601.940243959427
8,8,128,64,0.001,0.001,0.1,0.0,1134,-5.12632417678833,0.05168040469288826,0.9996401071548462,0.9975899457931519,0.9585997462272644,0.9997358918190002,15425.62396287918
