trial,n_experts,hidden_dim,shared_dim,lr,weight_decay,balance_weight,smooth_weight,best_epoch,best_test_loss,final_mae,r2_T,r2_H,r2_My,r2_Q,time_s
2,2,64,64,0.001,0.0001,0.0,0.01,242,-4.529242515563965,0.049241237342357635,0.9991254806518555,0.9971299171447754,0.9378783106803894,0.9989835023880005,106.50625991821289
3,8,128,64,0.0005,0.0001,0.01,0.01,93,-4.487300872802734,0.048917584121227264,0.9982076287269592,0.9972988963127136,0.9487220048904419,0.9981549382209778,333.61326479911804
0,8,64,32,0.001,0.001,0.0,0.0,139,-4.340705871582031,0.06908027082681656,0.9993298053741455,0.9961475133895874,0.860346257686615,0.9988690614700317,348.7624900341034
1,2,128,64,0.0005,0.001,0.0,0.0,298,-4.181375026702881,0.07874669879674911,0.9989684224128723,0.9949545860290527,0.8270048499107361,0.9990274310112,134.87052702903748
