trial_id,hidden_dims,output,MSE,RMSE,MAE,R2,MaxAbsErr,MeanRelErr%,P95RelErr%,P99RelErr%,MeanBias,StdErr
323,"[128, 256, 512, 256]",Fx,0.001640,0.040492,0.032588,0.998326,0.179722,13.907181,33.795449,124.405747,0.010576,0.039087
323,"[128, 256, 512, 256]",Fy,0.040611,0.201522,0.144852,0.956429,1.397019,141.952911,200.357335,1736.499989,0.005883,0.201436
323,"[128, 256, 512, 256]",Fz,0.002303,0.047993,0.036311,0.997775,0.284281,23.572792,61.206485,303.489533,0.002152,0.047945
323,"[128, 256, 512, 256]",Torque,0.001498,0.038698,0.031048,0.998447,0.152753,85.986526,44.587059,181.226281,0.007375,0.037989
141,"[256, 512, 256]",Fx,0.000774,0.027821,0.021526,0.999210,0.111068,8.348370,23.773628,88.602842,-0.001120,0.027798
141,"[256, 512, 256]",Fy,0.042583,0.206357,0.145910,0.954313,1.422481,125.302147,231.301366,1256.216906,0.006925,0.206241
141,"[256, 512, 256]",Fz,0.001858,0.043107,0.032429,0.998205,0.205315,17.899586,56.761781,228.040530,0.002155,0.043053
141,"[256, 512, 256]",Torque,0.000850,0.029151,0.023646,0.999119,0.128123,40.334160,32.125669,137.626184,0.011005,0.026993
371,"[256, 512, 512, 256]",Fx,0.001224,0.034989,0.027150,0.998750,0.165542,12.741303,34.245982,137.912673,-0.004448,0.034705
371,"[256, 512, 512, 256]",Fy,0.042125,0.205244,0.146089,0.954805,1.360560,116.767509,207.841898,1226.868120,-0.009291,0.205034
371,"[256, 512, 512, 256]",Fz,0.001979,0.044489,0.033849,0.998088,0.252457,19.811213,56.665545,245.169613,0.003943,0.044314
371,"[256, 512, 512, 256]",Torque,0.000847,0.029101,0.022660,0.999122,0.119528,60.670692,34.107424,150.399536,-0.000714,0.029093
214,"[128, 256, 256, 128]",Fx,0.001513,0.038902,0.030000,0.998455,0.205820,13.825944,39.763189,180.892627,-0.008518,0.037958
214,"[128, 256, 256, 128]",Fy,0.041558,0.203859,0.146003,0.955413,1.164544,117.101364,213.013796,1299.535912,-0.004847,0.203801
214,"[128, 256, 256, 128]",Fz,0.002119,0.046032,0.034833,0.997953,0.212811,19.501093,60.002264,220.317446,0.002699,0.045953
214,"[128, 256, 256, 128]",Torque,0.001061,0.032568,0.025123,0.998900,0.153858,95.201965,39.725970,193.574858,-0.007094,0.031786
322,"[128, 256, 512, 256]",Fx,0.000939,0.030635,0.023541,0.999042,0.157169,9.415476,27.654443,174.932700,-0.000935,0.030621
322,"[128, 256, 512, 256]",Fy,0.042727,0.206706,0.146249,0.954158,1.549948,125.622246,201.539420,1385.626995,0.012426,0.206332
322,"[128, 256, 512, 256]",Fz,0.001866,0.043202,0.032698,0.998197,0.250245,21.418625,61.096952,355.713018,-0.006606,0.042694
322,"[128, 256, 512, 256]",Torque,0.000747,0.027338,0.021038,0.999225,0.108694,32.288071,33.024536,177.360825,0.006514,0.026550
83,"[128, 256, 128]",Fx,0.001267,0.035600,0.027410,0.998706,0.189110,10.408119,32.633624,112.950056,-0.000305,0.035599
83,"[128, 256, 128]",Fy,0.041299,0.203223,0.146748,0.955690,1.249998,107.591873,201.283848,1315.800748,-0.006657,0.203114
83,"[128, 256, 128]",Fz,0.002414,0.049134,0.036951,0.997668,0.246842,22.900841,68.620004,236.901376,-0.006252,0.048734
83,"[128, 256, 128]",Torque,0.001312,0.036219,0.028106,0.998639,0.186422,63.652626,35.175007,196.787238,0.004622,0.035923
99,"[256, 512, 256]",Fx,0.000965,0.031056,0.024032,0.999015,0.147819,10.546261,26.738727,140.009173,-0.006139,0.030444
99,"[256, 512, 256]",Fy,0.042308,0.205690,0.146192,0.954608,1.517399,120.079079,246.994380,1234.473203,-0.000961,0.205688
99,"[256, 512, 256]",Fz,0.002032,0.045079,0.033628,0.998037,0.241248,20.928261,55.850473,268.447812,-0.004818,0.044821
99,"[256, 512, 256]",Torque,0.000990,0.031467,0.024048,0.998973,0.150602,14.154345,38.825101,173.734011,-0.011066,0.029457
3,"[64, 128, 64]",Fx,0.001081,0.032884,0.025362,0.998896,0.191185,11.548189,33.878047,141.720223,-0.004919,0.032514
