rank,hidden_dims,depth,width,lr,weight_decay,dropout,params,best_epoch,total_epochs,n_train,n_test,test_mse,test_rmse,test_mae,test_r2,train_mse,train_r2,overfit_gap,time_sec,Fx_R2,Fx_MAE,Fx_RMSE,Fx_MAPE%,Fy_R2,Fy_MAE,Fy_RMSE,Fy_MAPE%,Fz_R2,Fz_MAE,Fz_RMSE,Fz_MAPE%,Torque_R2,Torque_MAE,Torque_RMSE,Torque_MAPE%
235,"[256, 512, 256]",3,512,0.000500,0.000000,0.000000,278276,359,660,5760,1440,0.012597,0.112236,0.059508,0.986562,0.001919,0.998081,0.011520,339.700000,0.999075,0.024009,0.030098,10.371107,0.950270,0.153918,0.215293,112.806664,0.997994,0.034603,0.045578,18.114456,0.998907,0.025503,0.032461,42.423420
236,"[128, 256, 512, 256]",4,512,0.000500,0.000010,0.100000,305412,261,562,5760,1440,0.012598,0.112239,0.062564,0.986602,0.004136,0.995864,0.009262,346.800000,0.998538,0.029435,0.037839,12.217163,0.952703,0.148892,0.209962,116.211838,0.996956,0.041393,0.056141,19.027241,0.998213,0.030535,0.041511,26.140766
237,"[128, 256, 256, 128]",4,256,0.000100,0.000000,0.100000,139908,344,645,5760,1440,0.012602,0.112261,0.064545,0.986591,0.004145,0.995855,0.009263,372.500000,0.998303,0.032486,0.040777,15.977676,0.952428,0.153439,0.210570,112.920616,0.997219,0.041273,0.053659,18.789742,0.998415,0.030984,0.039086,122.499306
238,"[128, 256, 256, 128]",4,256,0.000500,0.000010,0.000000,139908,524,825,5760,1440,0.012607,0.112283,0.061648,0.986562,0.001514,0.998486,0.011924,491.800000,0.998605,0.029393,0.036971,11.054764,0.951059,0.153198,0.213580,102.923264,0.997867,0.036366,0.046992,23.081491,0.998715,0.027633,0.035191,22.470673
239,"[256, 512, 256]",3,512,0.005000,0.000000,0.200000,278276,333,634,5760,1440,0.012611,0.112298,0.065561,0.986600,0.003760,0.996240,0.009640,364.600000,0.997286,0.038894,0.051563,12.055561,0.953846,0.147476,0.207408,108.920357,0.997134,0.042713,0.054477,24.261345,0.998134,0.033161,0.042414,46.561996
240,"[64, 128, 256, 256, 128]",5,256,0.001000,0.000000,0.000000,145284,316,617,5760,1440,0.012611,0.112299,0.061706,0.986561,0.002104,0.997896,0.011335,375.600000,0.998666,0.029215,0.036152,11.985913,0.951225,0.152023,0.213217,119.316025,0.997776,0.036511,0.047984,22.413975,0.998576,0.029074,0.037057,31.376936
241,"[128, 256, 256, 128]",4,256,0.000100,0.000010,0.100000,139908,541,842,5760,1440,0.012612,0.112302,0.065503,0.986597,0.003541,0.996459,0.009861,500.300000,0.998177,0.032559,0.042264,12.631565,0.953233,0.150779,0.208782,88.788353,0.996759,0.045965,0.057928,24.752439,0.998221,0.032710,0.041413,60.808365
242,"[64, 128, 256, 256, 128]",5,256,0.000100,0.001000,0.200000,145284,1100,1401,5760,1440,0.012612,0.112304,0.063825,0.986582,0.003126,0.996874,0.010292,914.900000,0.997877,0.035514,0.045601,14.173243,0.952656,0.148977,0.210065,87.407898,0.997385,0.040203,0.052038,24.117464,0.998408,0.030605,0.039172,125.289520
243,"[64, 128, 128, 64]",4,128,0.000500,0.001000,0.200000,37188,1582,1883,5760,1440,0.012620,0.112338,0.068397,0.986612,0.006379,0.993621,0.007009,1087.600000,0.997132,0.041965,0.053001,17.021130,0.955209,0.145508,0.204324,113.981987,0.996630,0.046401,0.059069,23.793125,0.997477,0.039714,0.049322,74.079353
244,"[64, 128, 64]",3,128,0.000500,0.000000,0.200000,20420,1039,1340,5760,1440,0.012621,0.112344,0.066242,0.986590,0.005416,0.994584,0.007994,687.500000,0.998149,0.033702,0.042587,18.479998,0.953467,0.151009,0.208259,95.377411,0.996759,0.045628,0.057927,25.714188,0.997984,0.034629,0.044088,101.562370
245,"[128, 256, 512, 256, 128]",5,512,0.000500,0.000100,0.000000,338052,518,819,5760,1440,0.012625,0.112361,0.058693,0.986536,0.002122,0.997878,0.011342,532.600000,0.998783,0.025576,0.034527,9.261893,0.950560,0.149989,0.214666,102.976349,0.997993,0.033970,0.045589,21.544281,0.998809,0.025235,0.033886,39.955925
246,"[64, 128, 128, 64]",4,128,0.000500,0.000100,0.000000,37188,475,776,5760,1440,0.012628,0.112374,0.062448,0.986557,0.003531,0.996469,0.009912,464.200000,0.998446,0.029477,0.039019,13.188452,0.951959,0.150895,0.211607,106.702744,0.997402,0.039776,0.051863,20.563818,0.998422,0.029645,0.039006,31.189144
247,"[128, 256, 512, 256, 128]",5,512,0.000100,0.001000,0.100000,338052,693,994,5760,1440,0.012629,0.112377,0.062179,0.986545,0.002095,0.997905,0.011360,713.500000,0.998327,0.031583,0.040485,12.593616,0.951689,0.151229,0.212201,98.676277,0.997897,0.035543,0.046660,21.053957,0.998269,0.030362,0.040854,56.406303
248,"[128, 256, 256, 128]",4,256,0.000500,0.000000,0.000000,139908,323,624,5760,1440,0.012632,0.112391,0.062416,0.986557,0.002190,0.997810,0.011253,361.700000,0.998480,0.030903,0.038588,13.435220,0.952035,0.148469,0.211439,103.371292,0.997212,0.041339,0.053728,21.500683,0.998501,0.028955,0.038014,18.543619
249,"[64, 128, 256, 128, 64]",5,256,0.001000,0.000100,0.000000,87108,246,547,5760,1440,0.012634,0.112402,0.064955,0.986565,0.005626,0.994374,0.007810,339.200000,0.998473,0.030713,0.038675,13.525294,0.952735,0.152748,0.209892,113.055664,0.996993,0.043019,0.055800,25.213226,0.998058,0.033338,0.043273,35.104355
250,"[256, 512, 256]",3,512,0.000100,0.000100,0.000000,278276,555,856,5760,1440,0.012635,0.112403,0.059662,0.986526,0.001435,0.998565,0.012039,415.000000,0.998905,0.025503,0.032750,10.561889,0.950350,0.152477,0.215121,116.419029,0.997899,0.035596,0.046641,22.065693,0.998949,0.025072,0.031829,52.594212
251,"[64, 128, 64]",3,128,0.001000,0.000100,0.200000,20420,1106,1407,5760,1440,0.012635,0.112407,0.069422,0.986603,0.006049,0.993951,0.007348,717.100000,0.997328,0.041678,0.051166,13.520177,0.955679,0.145417,0.203248,100.727692,0.996448,0.046745,0.060647,27.141775,0.996956,0.043846,0.054176,81.708656
252,"[64, 128, 256, 256, 128]",5,256,0.000500,0.000010,0.100000,145284,590,891,5760,1440,0.012641,0.112431,0.065096,0.986571,0.003470,0.996530,0.009959,592.700000,0.997829,0.035489,0.046119,12.291588,0.953415,0.149628,0.208376,102.649933,0.996725,0.043670,0.058229,22.056313,0.998315,0.031600,0.040309,29.490635
253,"[128, 256, 512, 256]",4,512,0.001000,0.000100,0.100000,305412,495,796,5760,1440,0.012641,0.112432,0.062643,0.986542,0.004121,0.995879,0.009337,489.300000,0.998434,0.030853,0.039171,10.890970,0.951855,0.150676,0.211836,126.332237,0.997428,0.039230,0.051601,20.580463,0.998452,0.029811,0.038636,30.810482
254,"[256, 512, 256]",3,512,0.001000,0.000100,0.200000,278276,702,1003,5760,1440,0.012641,0.112434,0.064300,0.986567,0.005188,0.994812,0.008245,560.100000,0.997928,0.034548,0.045050,11.544035,0.953338,0.147746,0.208547,95.142319,0.996836,0.041960,0.057237,20.956402,0.998166,0.032943,0.042054,16.745985
255,"[256, 512, 512, 256]",4,512,0.000100,0.000100,0.000000,541956,740,1041,5760,1440,0.012661,0.112522,0.061408,0.986519,0.001258,0.998742,0.012222,641.500000,0.998751,0.026784,0.034985,8.994324,0.951356,0.152019,0.212929,107.362595,0.997236,0.039812,0.053492,19.532347,0.998734,0.027016,0.034941,25.479504
