rank,hidden_dims,depth,width,lr,weight_decay,dropout,params,best_epoch,total_epochs,n_train,n_test,test_mse,test_rmse,test_mae,test_r2,train_mse,train_r2,overfit_gap,time_sec,Fx_R2,Fx_MAE,Fx_RMSE,Fx_MAPE%,Fy_R2,Fy_MAE,Fy_RMSE,Fy_MAPE%,Fz_R2,Fz_MAE,Fz_RMSE,Fz_MAPE%,Torque_R2,Torque_MAE,Torque_RMSE,Torque_MAPE%
292,"[256, 512, 256]",3,512,0.000100,0.000000,0.000000,278276,590,891,5760,1440,0.012816,0.113207,0.062209,0.986346,0.001763,0.998237,0.011891,437.200000,0.998646,0.028748,0.036423,12.816317,0.950529,0.153198,0.214733,107.497093,0.997603,0.038111,0.049820,19.925898,0.998605,0.028779,0.036674,45.903851
293,"[128, 256, 512, 256, 128]",5,512,0.001000,0.000100,0.100000,338052,945,1246,5760,1440,0.012818,0.113217,0.065368,0.986375,0.003767,0.996233,0.009858,840.100000,0.998037,0.034210,0.043850,9.795652,0.952512,0.148069,0.210385,114.107521,0.996934,0.044028,0.056340,18.188210,0.998015,0.035165,0.043742,76.698425
294,"[64, 128, 256, 256, 128]",5,256,0.005000,0.000100,0.000000,145284,1244,1545,5760,1440,0.012820,0.113226,0.066966,0.986382,0.008578,0.991422,0.005040,1039.800000,0.997842,0.036179,0.045978,11.299197,0.953046,0.151660,0.209198,96.596222,0.996721,0.044594,0.058264,24.387632,0.997917,0.035431,0.044811,99.470886
295,"[64, 128, 64]",3,128,0.000100,0.000000,0.100000,20420,810,1111,5760,1440,0.012825,0.113247,0.065702,0.986361,0.006341,0.993659,0.007298,598.500000,0.998212,0.032130,0.041856,15.280020,0.952089,0.153956,0.211320,91.626930,0.997053,0.042689,0.055235,27.282421,0.998091,0.034032,0.042901,67.266426
296,"[128, 256, 256, 128, 64]",5,256,0.000100,0.000000,0.100000,148036,1013,1314,5760,1440,0.012833,0.113285,0.067700,0.986375,0.003096,0.996904,0.010530,849.300000,0.997484,0.039346,0.049644,12.728715,0.953400,0.149848,0.208409,103.402573,0.996591,0.046526,0.059414,22.026289,0.998024,0.035081,0.043646,46.925434
297,"[256, 512, 512, 256]",4,512,0.001000,0.000010,0.100000,541956,356,657,5760,1440,0.012835,0.113293,0.064059,0.986340,0.003477,0.996523,0.010183,413.200000,0.997913,0.035247,0.045220,14.593514,0.951843,0.148884,0.211862,126.725052,0.997582,0.037560,0.050037,18.416698,0.998022,0.034544,0.043674,52.911983
298,"[128, 256, 512, 256]",4,512,0.001000,0.000100,0.200000,305412,537,838,5760,1440,0.012836,0.113294,0.067426,0.986382,0.006150,0.993850,0.007468,513.900000,0.997829,0.035951,0.046121,12.276251,0.953675,0.149330,0.207792,107.970940,0.996143,0.048618,0.063191,25.752087,0.997880,0.035806,0.045214,77.828888
299,"[128, 256, 256, 128, 64]",5,256,0.000500,0.000010,0.000000,148036,581,882,5760,1440,0.012839,0.113311,0.061477,0.986322,0.001541,0.998459,0.012137,583.500000,0.998544,0.029499,0.037767,11.178449,0.950526,0.151447,0.214738,117.801323,0.997585,0.037033,0.050001,16.757986,0.998632,0.027928,0.036316,32.058517
300,"[64, 128, 256, 128]",4,256,0.005000,0.000000,0.200000,78980,669,970,5760,1440,0.012840,0.113312,0.066134,0.986356,0.004798,0.995202,0.008846,538.100000,0.997716,0.036520,0.047300,13.696908,0.952819,0.149605,0.209705,112.789505,0.996946,0.043703,0.056234,20.912348,0.997943,0.034710,0.044531,46.562294
301,"[128, 256, 512, 256, 128]",5,512,0.000500,0.001000,0.000000,338052,538,839,5760,1440,0.012841,0.113320,0.064137,0.986343,0.004953,0.995047,0.008704,545.600000,0.998329,0.030939,0.040459,13.183815,0.951838,0.153101,0.211874,106.532074,0.996975,0.042181,0.055961,21.164230,0.998230,0.030327,0.041306,81.548271
302,"[64, 128, 256, 256, 128]",5,256,0.000100,0.000000,0.200000,145284,534,835,5760,1440,0.012850,0.113356,0.068232,0.986365,0.005951,0.994049,0.007684,526.800000,0.997694,0.037061,0.047524,14.494609,0.953568,0.151584,0.208034,103.174728,0.996233,0.049501,0.062455,31.640068,0.997966,0.034781,0.044283,36.379189
303,"[64, 128, 64]",3,128,0.001000,0.001000,0.200000,20420,1479,1780,5760,1440,0.012853,0.113370,0.065579,0.986338,0.007968,0.992032,0.005694,958.900000,0.997786,0.036380,0.046575,15.323788,0.952393,0.150279,0.210648,120.847160,0.996969,0.042628,0.056020,21.065546,0.998204,0.033030,0.041612,71.681847
304,"[128, 256, 512, 256, 128]",5,512,0.000100,0.001000,0.200000,338052,556,857,5760,1440,0.012859,0.113398,0.067416,0.986346,0.003701,0.996299,0.009953,588.100000,0.997649,0.037201,0.047989,12.507370,0.953646,0.147469,0.207857,101.670158,0.996769,0.045570,0.057836,22.366154,0.997320,0.039426,0.050834,104.028275
305,"[64, 128, 256, 128]",4,256,0.005000,0.000010,0.200000,78980,470,771,5760,1440,0.012859,0.113399,0.068310,0.986353,0.007810,0.992190,0.005837,448.900000,0.997607,0.037266,0.048415,15.480016,0.954050,0.150462,0.206950,115.125999,0.996569,0.045572,0.059598,25.680479,0.997186,0.039940,0.052086,82.506638
306,"[128, 256, 256, 128]",4,256,0.000100,0.001000,0.000000,139908,503,804,5760,1440,0.012863,0.113417,0.063186,0.986313,0.002258,0.997742,0.011428,479.200000,0.998492,0.029733,0.038433,9.983747,0.951191,0.152328,0.213290,132.440430,0.997013,0.041563,0.055612,24.603342,0.998557,0.029119,0.037293,42.725143
307,"[64, 128, 128, 64]",4,128,0.001000,0.000010,0.000000,37188,477,778,5760,1440,0.012873,0.113461,0.064119,0.986306,0.003241,0.996759,0.010453,445.300000,0.998273,0.031530,0.041129,12.576860,0.951541,0.149936,0.212526,107.936134,0.997061,0.043542,0.055161,22.551516,0.998349,0.031468,0.039901,27.915012
308,"[64, 128, 256, 256, 128]",5,256,0.005000,0.000010,0.100000,145284,682,983,5760,1440,0.012875,0.113466,0.067449,0.986330,0.005542,0.994458,0.008128,656.900000,0.997470,0.039347,0.049779,13.235312,0.953239,0.150509,0.208769,98.612465,0.996639,0.045326,0.058989,22.366320,0.997971,0.034616,0.044232,59.715084
309,"[128, 256, 512, 256, 128]",5,512,0.001000,0.000010,0.100000,338052,390,691,5760,1440,0.012885,0.113514,0.066156,0.986300,0.003430,0.996570,0.010270,493.900000,0.997357,0.040324,0.050888,12.773809,0.952369,0.150134,0.210702,112.193779,0.997274,0.041355,0.053129,19.096945,0.998201,0.032810,0.041644,49.969406
310,"[64, 128, 128, 64]",4,128,0.000100,0.000010,0.100000,37188,931,1232,5760,1440,0.012890,0.113535,0.067367,0.986316,0.005673,0.994327,0.008011,713.500000,0.997855,0.034660,0.045840,16.176291,0.953215,0.150002,0.208822,86.328850,0.996445,0.048204,0.060667,30.530445,0.997747,0.036602,0.046603,84.531639
311,"[64, 128, 256, 128, 64]",5,256,0.005000,0.000000,0.000000,87108,363,664,5760,1440,0.012891,0.113537,0.062484,0.986276,0.002861,0.997139,0.010863,389.800000,0.998194,0.030821,0.042062,10.686655,0.950801,0.152364,0.214142,98.524857,0.997396,0.038572,0.051923,21.425901,0.998713,0.028177,0.035219,39.169487
312,"[64, 128, 128, 64]",4,128,0.000100,0.001000,0.000000,37188,542,843,5760,1440,0.012892,0.113542,0.066478,0.986294,0.004163,0.995837,0.009543,462.100000,0.998219,0.034063,0.041773,14.399961,0.952011,0.153050,0.211492,97.794968,0.996916,0.042853,0.056503,23.801374,0.998029,0.035947,0.043592,72.721336
313,"[64, 128, 256, 128]",4,256,0.000500,0.000010,0.100000,78980,329,630,5760,1440,0.012892,0.113542,0.067737,0.986317,0.005451,0.994549,0.008233,362.200000,0.997960,0.034999,0.044704,11.926694,0.953521,0.150021,0.208139,100.072556,0.996408,0.046975,0.060980,24.544172,0.997378,0.038954,0.050282,69.790817
314,"[128, 256, 256, 128, 64]",5,256,0.000500,0.001000,0.000000,148036,620,921,5760,1440,0.012892,0.113543,0.062023,0.986261,0.003371,0.996629,0.010368,607.600000,0.998586,0.028722,0.037219,9.716623,0.950091,0.154178,0.215680,123.586479,0.997709,0.037205,0.048704,25.347496,0.998659,0.027987,0.035956,48.967533
315,"[64, 128, 256, 128]",4,256,0.005000,0.000000,0.100000,78980,260,561,5760,1440,0.012896,0.113559,0.068725,0.986308,0.005819,0.994181,0.007873,313.800000,0.997536,0.038980,0.049127,17.282036,0.953463,0.150308,0.208269,79.928268,0.996715,0.046432,0.058317,25.416466,0.997518,0.039179,0.048916,79.404289
316,"[64, 128, 128, 64]",4,128,0.001000,0.000000,0.100000,37188,732,1033,5760,1440,0.012898,0.113569,0.069321,0.986324,0.005177,0.994823,0.008499,558.100000,0.996814,0.043844,0.055865,13.584196,0.954803,0.146806,0.205248,100.951653,0.996479,0.045651,0.060379,24.185728,0.997201,0.040982,0.051944,88.403114
317,"[64, 128, 256, 256, 128]",5,256,0.001000,0.001000,0.000000,145284,1128,1429,5760,1440,0.012901,0.113583,0.063795,0.986269,0.005794,0.994206,0.007937,959.000000,0.998502,0.029602,0.038307,12.027575,0.951002,0.154137,0.213703,96.287849,0.997233,0.040399,0.053523,22.325724,0.998337,0.031044,0.040042,147.240356
318,"[256, 512, 512, 256]",4,512,0.000500,0.000000,0.200000,541956,281,582,5760,1440,0.012904,0.113594,0.067112,0.986302,0.005048,0.994952,0.008649,349.100000,0.998328,0.031675,0.040473,12.837766,0.952946,0.151835,0.209420,94.518814,0.996171,0.049321,0.062963,25.330160,0.997764,0.035617,0.046426,51.871445
319,"[128, 256, 512, 256, 128]",5,512,0.000100,0.000000,0.200000,338052,707,1008,5760,1440,0.012907,0.113611,0.067027,0.986294,0.003668,0.996332,0.010038,647.400000,0.997782,0.037254,0.046611,16.882914,0.952869,0.150779,0.209593,90.133911,0.996505,0.045479,0.060158,29.290022,0.998020,0.034595,0.043690,112.946991
320,"[256, 512, 512, 256]",4,512,0.001000,0.000000,0.200000,541956,254,555,5760,1440,0.012908,0.113613,0.066662,0.986286,0.004272,0.995728,0.009442,332.000000,0.998047,0.034939,0.043739,10.891506,0.952605,0.148600,0.210179,122.441406,0.996717,0.046349,0.058299,20.865124,0.997776,0.036759,0.046310,47.289200
321,"[128, 256, 512, 256]",4,512,0.000500,0.000010,0.200000,305412,347,648,5760,1440,0.012912,0.113629,0.066327,0.986279,0.003916,0.996084,0.009805,396.600000,0.998057,0.034718,0.043625,12.507124,0.952140,0.152833,0.211208,113.857941,0.996683,0.044991,0.058606,21.404488,0.998237,0.032766,0.041229,39.162788
322,"[256, 512, 256]",3,512,0.005000,0.000100,0.200000,278276,1145,1446,5760,1440,0.012913,0.113636,0.066824,0.986282,0.009337,0.990664,0.004382,862.400000,0.997706,0.036252,0.047404,13.254882,0.952547,0.153399,0.210307,110.861069,0.996723,0.044717,0.058251,21.437151,0.998151,0.032929,0.042224,32.782017
323,"[128, 256, 512, 256, 128]",5,512,0.001000,0.000000,0.000000,338052,202,503,5760,1440,0.012913,0.113637,0.062695,0.986256,0.002984,0.997016,0.010761,328.100000,0.998556,0.028151,0.037611,13.985538,0.951075,0.150759,0.213545,132.150391,0.997274,0.039579,0.053124,22.366508,0.998118,0.032291,0.042602,48.432129
324,"[64, 128, 256, 128]",4,256,0.001000,0.000100,0.100000,78980,971,1272,5760,1440,0.012918,0.113660,0.067039,0.986276,0.004084,0.995916,0.009640,765.200000,0.997632,0.037069,0.048164,11.584061,0.953145,0.150069,0.208978,131.481857,0.997026,0.042172,0.055489,20.487717,0.997300,0.038847,0.051023,55.410255
325,"[256, 512, 256]",3,512,0.000100,0.000010,0.000000,278276,279,580,5760,1440,0.012919,0.113663,0.064856,0.986253,0.003119,0.996881,0.010628,280.800000,0.998334,0.031600,0.040394,12.422075,0.951149,0.154741,0.213384,105.181030,0.997189,0.041922,0.053945,23.242296,0.998338,0.031159,0.040034,63.859581
326,"[256, 512, 512, 256]",4,512,0.000500,0.000000,0.100000,541956,184,485,5760,1440,0.012928,0.113700,0.068082,0.986279,0.004924,0.995076,0.008797,291.300000,0.997639,0.037802,0.048089,13.251947,0.953389,0.148888,0.208433,110.376106,0.996457,0.047389,0.060565,22.357883,0.997630,0.038249,0.047804,73.438507
327,"[128, 256, 256, 128]",4,256,0.000100,0.000100,0.200000,139908,570,871,5760,1440,0.012928,0.113701,0.067676,0.986261,0.004468,0.995532,0.009272,517.400000,0.997981,0.034954,0.044478,15.068876,0.952600,0.152548,0.210191,95.086922,0.996997,0.043399,0.055764,27.546734,0.997466,0.039804,0.049429,97.960533
328,"[64, 128, 64]",3,128,0.001000,0.000010,0.200000,20420,581,882,5760,1440,0.012930,0.113711,0.067977,0.986285,0.006391,0.993609,0.007323,446.200000,0.997811,0.035865,0.046311,18.106936,0.953698,0.149840,0.207740,110.161522,0.996059,0.048962,0.063880,27.926027,0.997573,0.037240,0.048368,42.345898
329,"[128, 256, 256, 128]",4,256,0.000500,0.000000,0.100000,139908,249,550,5760,1440,0.012931,0.113713,0.068219,0.986292,0.005019,0.994982,0.008689,317.000000,0.997701,0.037556,0.047455,14.234646,0.954001,0.148878,0.207061,94.514084,0.995812,0.049015,0.065847,25.494158,0.997656,0.037426,0.047542,28.362272
330,"[64, 128, 128, 64]",4,128,0.001000,0.000000,0.000000,37188,236,537,5760,1440,0.012934,0.113729,0.066861,0.986262,0.005164,0.994836,0.008574,292.200000,0.998165,0.033312,0.042400,15.103396,0.952636,0.151514,0.210110,101.911545,0.996545,0.046112,0.059810,25.380219,0.997702,0.036506,0.047069,45.010143
331,"[64, 128, 256, 128]",4,256,0.001000,0.000000,0.100000,78980,530,831,5760,1440,0.012942,0.113764,0.066494,0.986246,0.003604,0.996396,0.010150,475.500000,0.998000,0.035385,0.044267,11.841903,0.952342,0.149912,0.210761,106.354797,0.996863,0.044081,0.056993,23.196661,0.997779,0.036596,0.046269,35.983459
332,"[64, 128, 256, 128, 64]",5,256,0.001000,0.000100,0.100000,87108,1325,1626,5760,1440,0.012943,0.113766,0.065963,0.986246,0.003795,0.996205,0.009959,1051.800000,0.997657,0.037250,0.047907,15.324775,0.952450,0.148682,0.210523,112.782219,0.996934,0.043003,0.056344,20.489162,0.997945,0.034917,0.044510,91.980515
333,"[128, 256, 512, 256, 128]",5,512,0.000100,0.000100,0.200000,338052,731,1032,5760,1440,0.012943,0.113769,0.066690,0.986255,0.003147,0.996853,0.010598,685.400000,0.997488,0.038611,0.049606,14.080024,0.952606,0.149926,0.210176,114.365181,0.996550,0.046967,0.059769,27.239315,0.998375,0.031257,0.039580,41.650009
334,"[128, 256, 128]",3,256,0.005000,0.000010,0.100000,73604,658,959,5760,1440,0.012945,0.113778,0.068599,0.986256,0.006603,0.993397,0.007141,512.900000,0.997701,0.038520,0.047457,13.327800,0.953021,0.151535,0.209255,117.723099,0.996490,0.047080,0.060284,24.565126,0.997814,0.037263,0.045904,56.541245
335,"[64, 128, 256, 256, 128]",5,256,0.000100,0.000010,0.200000,145284,864,1165,5760,1440,0.012946,0.113782,0.067292,0.986251,0.005219,0.994781,0.008530,759.100000,0.997900,0.035776,0.045361,15.601768,0.952674,0.151235,0.210025,107.917099,0.996562,0.046261,0.059660,29.281771,0.997866,0.035898,0.045359,80.911407
336,"[64, 128, 256, 128, 64]",5,256,0.000100,0.000100,0.100000,87108,947,1248,5760,1440,0.012947,0.113783,0.067602,0.986247,0.004018,0.995982,0.009735,800.900000,0.997925,0.035903,0.045086,18.194962,0.952725,0.150984,0.209913,103.067093,0.996759,0.044918,0.057923,26.234903,0.997578,0.038603,0.048319,63.558739
337,"[128, 256, 256, 128, 64]",5,256,0.000500,0.001000,0.200000,148036,1304,1605,5760,1440,0.012947,0.113784,0.070528,0.986272,0.006218,0.993782,0.007510,1099.600000,0.996451,0.047289,0.058961,18.493708,0.954668,0.147061,0.205554,125.258461,0.996580,0.047362,0.059502,28.325108,0.997388,0.040402,0.050182,78.404427
338,"[128, 256, 512, 256]",4,512,0.001000,0.000000,0.200000,305412,591,892,5760,1440,0.012948,0.113788,0.066900,0.986247,0.002892,0.997108,0.010861,532.000000,0.997645,0.037313,0.048031,11.710032,0.952701,0.150660,0.209967,110.843254,0.996713,0.045819,0.058339,20.721582,0.997931,0.033807,0.044658,42.876499
339,"[256, 512, 256]",3,512,0.001000,0.000010,0.200000,278276,310,611,5760,1440,0.012949,0.113792,0.068905,0.986273,0.006253,0.993747,0.007474,352.200000,0.997127,0.041206,0.053052,13.156918,0.953915,0.149265,0.207255,101.304710,0.995928,0.051259,0.064933,23.673975,0.998124,0.033889,0.042533,67.016930
340,"[128, 256, 128]",3,256,0.000100,0.000000,0.000000,73604,411,712,5760,1440,0.012951,0.113805,0.065493,0.986226,0.003732,0.996267,0.010042,348.600000,0.998307,0.031739,0.040725,13.589493,0.951344,0.154615,0.212957,92.215614,0.996922,0.043796,0.056453,26.628586,0.998330,0.031822,0.040122,45.207478
341,"[64, 128, 256, 128, 64]",5,256,0.000500,0.000100,0.000000,87108,211,512,5760,1440,0.012972,0.113895,0.066346,0.986209,0.004744,0.995255,0.009047,309.500000,0.997673,0.037273,0.047742,13.154829,0.951984,0.153313,0.211552,104.459167,0.997122,0.041490,0.054587,21.693295,0.998055,0.033307,0.043301,47.326313
342,"[64, 128, 256, 128, 64]",5,256,0.005000,0.000010,0.100000,87108,870,1171,5760,1440,0.012975,0.113908,0.067451,0.986251,0.005372,0.994628,0.008377,740.400000,0.997832,0.036220,0.046084,14.075638,0.953765,0.147770,0.207591,114.401787,0.995420,0.051855,0.068862,25.660252,0.997988,0.033960,0.044045,76.017899
343,"[64, 128, 256, 256, 128]",5,256,0.000100,0.000100,0.200000,145284,985,1286,5760,1440,0.012977,0.113918,0.068150,0.986216,0.004535,0.995465,0.009249,838.500000,0.997488,0.039204,0.049605,13.765432,0.952863,0.150226,0.209607,112.115860,0.996841,0.045387,0.057192,25.403526,0.997674,0.037782,0.047354,119.597214
344,"[128, 256, 256, 128, 64]",5,256,0.000100,0.000100,0.100000,148036,756,1057,5760,1440,0.012978,0.113923,0.067424,0.986220,0.003449,0.996551,0.010331,719.000000,0.997639,0.038271,0.048093,15.355710,0.952743,0.150209,0.209873,91.975410,0.996518,0.046645,0.060046,22.228785,0.997979,0.034570,0.044143,46.925430
345,"[128, 256, 512, 256]",4,512,0.005000,0.000100,0.100000,305412,1025,1326,5760,1440,0.012992,0.113984,0.067607,0.986217,0.008707,0.991293,0.005075,818.000000,0.997835,0.035710,0.046048,13.961439,0.952942,0.152893,0.209431,124.770874,0.995914,0.050457,0.065041,27.682444,0.998177,0.031367,0.041921,108.473984
346,"[64, 128, 256, 128]",4,256,0.000500,0.000000,0.000000,78980,394,695,5760,1440,0.012993,0.113987,0.065046,0.986189,0.002485,0.997515,0.011325,386.600000,0.998130,0.033341,0.042799,12.623850,0.951555,0.151573,0.212494,124.306999,0.996688,0.044307,0.058562,21.865984,0.998385,0.030965,0.039459,69.738319
347,"[128, 256, 256, 128, 64]",5,256,0.000100,0.001000,0.100000,148036,709,1010,5760,1440,0.012997,0.114002,0.067247,0.986183,0.002914,0.997086,0.010904,694.900000,0.997595,0.038245,0.048536,15.056733,0.952136,0.151915,0.211217,109.585007,0.997243,0.041765,0.053431,20.815939,0.997757,0.037062,0.046507,86.824677
348,"[64, 128, 256, 128, 64]",5,256,0.000100,0.000010,0.100000,87108,806,1107,5760,1440,0.013001,0.114022,0.068561,0.986192,0.004695,0.995304,0.009113,715.800000,0.997773,0.037395,0.046703,17.149660,0.952536,0.153401,0.210333,97.288620,0.996626,0.046707,0.059108,26.968500,0.997833,0.036742,0.045712,78.328926
349,"[128, 256, 128]",3,256,0.000100,0.000010,0.000000,73604,339,640,5760,1440,0.013007,0.114047,0.066137,0.986171,0.004159,0.995841,0.009670,322.900000,0.997736,0.036265,0.047099,13.905428,0.951800,0.153542,0.211957,98.687454,0.997091,0.041854,0.054883,22.846828,0.998059,0.032888,0.043257,23.972752
350,"[128, 256, 512, 256, 128]",5,512,0.000100,0.000000,0.100000,338052,442,743,5760,1440,0.013009,0.114058,0.065966,0.986170,0.003365,0.996635,0.010464,475.700000,0.997943,0.035053,0.044893,13.029403,0.951669,0.152371,0.212243,95.443436,0.996914,0.043093,0.056526,22.272245,0.998154,0.033346,0.042182,61.062088
351,"[64, 128, 256, 128]",4,256,0.005000,0.000010,0.100000,78980,723,1024,5760,1440,0.013011,0.114067,0.065991,0.986169,0.005042,0.994958,0.008789,598.300000,0.997847,0.036214,0.045930,12.089060,0.951722,0.150232,0.212129,117.961739,0.996889,0.044311,0.056752,25.477142,0.998220,0.033206,0.041425,39.838673
352,"[64, 128, 256, 256, 128]",5,256,0.001000,0.000010,0.200000,145284,885,1186,5760,1440,0.013015,0.114083,0.068613,0.986186,0.004366,0.995634,0.009447,786.600000,0.997498,0.039088,0.049504,13.758057,0.953163,0.149611,0.208939,97.847794,0.996482,0.047180,0.060351,22.883392,0.997603,0.038575,0.048078,110.765884
353,"[64, 128, 256, 256, 128]",5,256,0.000500,0.000000,0.000000,145284,996,1297,5760,1440,0.013016,0.114086,0.062511,0.986135,0.001140,0.998860,0.012724,825.800000,0.998439,0.029573,0.039106,11.126275,0.949888,0.154158,0.216120,130.756241,0.997524,0.039279,0.050629,18.374453,0.998691,0.027033,0.035522,27.089869
354,"[128, 256, 512, 256, 128]",5,512,0.000500,0.000000,0.100000,338052,500,801,5760,1440,0.013033,0.114161,0.065250,0.986147,0.002736,0.997264,0.011117,511.100000,0.997675,0.036487,0.047725,11.056522,0.951803,0.151089,0.211949,114.275826,0.996938,0.041650,0.056303,21.442099,0.998173,0.031775,0.041967,33.569843
355,"[64, 128, 128, 64]",4,128,0.000100,0.000100,0.100000,37188,1142,1443,5760,1440,0.013034,0.114166,0.067918,0.986156,0.005002,0.994998,0.008842,866.300000,0.997861,0.036262,0.045775,15.003551,0.952414,0.152030,0.210602,94.101044,0.996645,0.045797,0.058936,22.463099,0.997704,0.037583,0.047050,116.492256
356,"[128, 256, 512, 256, 128]",5,512,0.001000,0.001000,0.000000,338052,502,803,5760,1440,0.013034,0.114168,0.067065,0.986148,0.006903,0.993097,0.006949,521.700000,0.997488,0.038606,0.049602,12.702265,0.951975,0.152257,0.211572,110.235023,0.996961,0.043745,0.056097,23.925421,0.998167,0.033654,0.042035,44.415642
357,"[256, 512, 512, 256]",4,512,0.005000,0.000010,0.200000,541956,524,825,5760,1440,0.013037,0.114178,0.067002,0.986142,0.007680,0.992320,0.006178,522.400000,0.997674,0.036951,0.047731,15.810056,0.951741,0.153242,0.212086,116.450172,0.996986,0.043890,0.055864,26.751286,0.998167,0.033924,0.042037,70.881668
358,"[128, 256, 512, 256, 128]",5,512,0.000500,0.000010,0.100000,338052,273,574,5760,1440,0.013042,0.114203,0.068186,0.986157,0.004332,0.995668,0.009511,381.400000,0.997599,0.038618,0.048498,14.309923,0.952940,0.150340,0.209435,96.450760,0.996409,0.046220,0.060977,19.281420,0.997681,0.037568,0.047283,80.486557
359,"[256, 512, 512, 256]",4,512,0.000100,0.000000,0.000000,541956,364,665,5760,1440,0.013043,0.114207,0.063277,0.986111,0.001559,0.998441,0.012330,386.900000,0.998601,0.029241,0.037013,12.429074,0.949972,0.154321,0.215939,103.106186,0.997277,0.040800,0.053100,23.003828,0.998596,0.028746,0.036793,20.875593
360,"[64, 128, 128, 64]",4,128,0.000500,0.000000,0.000000,37188,184,485,5760,1440,0.013051,0.114240,0.067659,0.986144,0.005766,0.994234,0.008090,275.900000,0.998012,0.033912,0.044133,15.312215,0.952689,0.152404,0.209993,106.273613,0.996445,0.046293,0.060667,26.835207,0.997430,0.038027,0.049774,112.996307
361,"[64, 128, 128, 64]",4,128,0.000500,0.000100,0.100000,37188,728,1029,5760,1440,0.013061,0.114285,0.070395,0.986170,0.005415,0.994585,0.008415,586.400000,0.996794,0.044514,0.056044,13.578777,0.954802,0.148283,0.205250,97.358727,0.995680,0.049720,0.066877,22.020483,0.997403,0.039062,0.050035,45.508381
362,"[64, 128, 256, 256, 128]",5,256,0.000100,0.001000,0.100000,145284,433,734,5760,1440,0.013066,0.114305,0.067648,0.986119,0.004225,0.995775,0.009656,479.200000,0.997959,0.035621,0.044710,14.026104,0.952334,0.151124,0.210779,88.885170,0.996803,0.044565,0.057534,24.100277,0.997380,0.039281,0.050255,108.895920
363,"[128, 256, 512, 256]",4,512,0.005000,0.000000,0.200000,305412,527,828,5760,1440,0.013069,0.114319,0.066148,0.986113,0.003246,0.996754,0.010641,520.700000,0.997871,0.035721,0.045671,14.381968,0.951611,0.150193,0.212372,129.886154,0.996674,0.046631,0.058684,22.250994,0.998295,0.032048,0.040546,33.125137
364,"[128, 256, 512, 256, 128]",5,512,0.001000,0.000010,0.200000,338052,483,784,5760,1440,0.013076,0.114350,0.070701,0.986135,0.004626,0.995374,0.009239,543.400000,0.997018,0.043067,0.054049,15.250271,0.953913,0.148814,0.207258,94.323143,0.996296,0.049153,0.061931,21.733282,0.997312,0.041768,0.050903,131.403671
365,"[64, 128, 128, 64]",4,128,0.000500,0.000010,0.000000,37188,242,543,5760,1440,0.013077,0.114354,0.066755,0.986104,0.004936,0.995064,0.008961,310.300000,0.997998,0.034431,0.044288,14.978838,0.951580,0.154311,0.212439,118.671738,0.996669,0.045427,0.058730,26.653444,0.998168,0.032851,0.042030,35.198769
366,"[64, 128, 256, 256, 128]",5,256,0.005000,0.000000,0.100000,145284,515,816,5760,1440,0.013078,0.114359,0.066236,0.986118,0.004276,0.995724,0.009605,526.800000,0.998048,0.034822,0.043731,11.922043,0.952196,0.149812,0.211085,99.640259,0.996073,0.046392,0.063765,22.666891,0.998157,0.033920,0.042157,65.821106
367,"[128, 256, 256, 128, 64]",5,256,0.001000,0.000100,0.100000,148036,628,929,5760,1440,0.013085,0.114390,0.069273,0.986116,0.005548,0.994452,0.008337,649.500000,0.997292,0.040153,0.051504,14.218496,0.953421,0.149384,0.208362,94.308006,0.996535,0.047026,0.059896,24.287516,0.997215,0.040531,0.051818,52.654301
368,"[64, 128, 256, 128]",4,256,0.001000,0.000010,0.200000,78980,330,631,5760,1440,0.013094,0.114429,0.069804,0.986127,0.006478,0.993522,0.007396,370.500000,0.997166,0.040886,0.052694,14.741465,0.954003,0.149417,0.207057,91.270874,0.995722,0.051235,0.066556,25.649748,0.997617,0.037678,0.047931,59.695580
369,"[64, 128, 256, 256, 128]",5,256,0.001000,0.000000,0.100000,145284,629,930,5760,1440,0.013097,0.114440,0.067274,0.986096,0.003755,0.996245,0.010149,571.900000,0.997647,0.036616,0.048010,13.732341,0.952647,0.150904,0.210086,106.545181,0.996540,0.044544,0.059851,20.023829,0.997549,0.037033,0.048607,39.542507
370,"[128, 256, 256, 128]",4,256,0.000500,0.000000,0.200000,139908,461,762,5760,1440,0.013098,0.114449,0.069677,0.986121,0.004652,0.995348,0.009227,437.500000,0.997127,0.042567,0.053049,15.094036,0.954147,0.146700,0.206731,97.678062,0.995865,0.049231,0.065429,28.382029,0.997344,0.040208,0.050608,116.183830
371,"[256, 512, 256]",3,512,0.005000,0.000100,0.100000,278276,1212,1513,5760,1440,0.013115,0.114520,0.069591,0.986092,0.009348,0.990652,0.004560,901.400000,0.997520,0.039983,0.049285,13.337289,0.953303,0.150156,0.208625,109.621590,0.996055,0.048820,0.063911,22.981483,0.997489,0.039406,0.049205,29.598888
372,"[64, 128, 64]",3,128,0.005000,0.000010,0.100000,20420,455,756,5760,1440,0.013123,0.114557,0.068718,0.986071,0.009151,0.990849,0.004778,381.000000,0.997249,0.040020,0.051915,19.451975,0.953017,0.150730,0.209264,97.877365,0.996612,0.045809,0.059223,27.132883,0.997407,0.038314,0.049999,168.467499
