RPM,WIND,ANGLE,chord_0,chord_1,chord_2,chord_3,chord_4,chord_5,chord_6,chord_7,chord_8,chord_9,chord_10,chord_11,chord_12,chord_13,chord_14,chord_15,chord_16,chord_17,chord_18,chord_19,chord_20,chord_21,twist_0,twist_1,twist_2,twist_3,twist_4,twist_5,twist_6,twist_7,twist_8,twist_9,twist_10,twist_11,twist_12,twist_13,twist_14,twist_15,twist_16,twist_17,twist_18,twist_19,twist_20,twist_21,Fx,Fy,Fz,Torque
4500.0,12.0,82.0,0.01822406292151081,0.020071852222432584,0.021693772860941925,0.02262592354590305,0.022950276634003085,0.022748019898093906,0.022100341111027433,0.02108842804565558,0.019793468474830243,0.018296650171403334,0.01667897893420632,0.015020395948141446,0.013402231426932604,0.011906920795475558,0.010617841681232016,0.009613888437310932,0.009244706320761202,0.008978115898664839,0.008825789433934639,0.008796060209334301,0.008794310635242136,0.008799838765678844,38.29791513406651,35.3172166846364,32.08640274009474,29.35045188581596,27.045999619854626,25.11105819313546,23.483639856583206,22.10175686112262,20.90342145767843,19.826645897175396,18.80933130359412,17.788691573369682,16.702398507936103,15.48835245048165,14.08559909781973,12.427260643293396,11.480808439085958,10.44257272945002,9.300880548093858,8.664820834568992,8.371872992814948,8.07291431055259,2.5429709941148757,-0.009058004343144906,0.21933489643063997,0.043021922620634236
4000.0,15.0,85.0,0.018851374003454335,0.019540629207376474,0.020196775770509247,0.020627055413498113,0.020834899094828545,0.02082343473632185,0.020595790259799362,0.020155093587082406,0.019504472639992294,0.01864705534035035,0.01758584152779665,0.01632286453106693,0.014860645824705063,0.013202473491335529,0.011353418912192263,0.009311114470769648,0.008216636949047432,0.007070822844940252,0.005870917414496664,0.005227266105631614,0.004936390610487699,0.0046430191781660695,37.493052639523796,34.895766176580125,31.964646241604704,29.359606952199936,27.050626833600067,25.00890567011798,23.205643246066582,21.612039345758784,20.19929375350748,18.93860625362559,17.801056980522795,16.757112286803334,15.778035571073529,14.835371377205764,13.90122251439991,12.943959511684627,12.446832718909876,11.931199994309887,11.391951298675611,11.101644669117915,10.970023909980936,10.836943789436258,2.119118728240331,-0.014733623325203856,0.18655709811228008,0.03387053486270209
6000.0,12.0,82.0,0.021087027818466834,0.024695336919857477,0.028081370446586915,0.03032578036487657,0.03154843122238089,0.03186761506086415,0.031401623922090637,0.030268749847824645,0.028587284879830442,0.02647552105987232,0.024051470390687436,0.021431358389217343,0.01873330472232496,0.01607725331449109,0.013585250419461084,0.011370245150996532,0.010403452473878574,0.009549604628912335,0.008824175612957615,0.008504575714138783,0.008375831083763309,0.008255790386226767,34.66992505766933,32.872592963119,30.765308679889323,28.804340374299223,26.97779775158661,25.274649911065243,23.68386595204892,22.194414973851405,20.795266075786483,19.47538835716794,18.223616297816655,17.02805208714025,15.877695804959021,14.761999559406135,13.671141261314752,12.591038108914578,12.05084197793381,11.507455666400084,10.958273741959735,10.670721362989292,10.542197127909859,10.413407315395162,6.266452960173289,-0.02747416392885498,0.46906152545201013,0.10545497769489884
6000.0,12.0,85.0,0.02225071228466589,0.023823216054523394,0.025285867366990608,0.026225180504616506,0.026681179085414775,0.026693203058563316,0.02630059237324008,0.025542686978622994,0.024458826823889966,0.023088351858218937,0.02147041151113712,0.019642834652939922,0.017644456880823264,0.015515284348840247,0.013297351275899386,0.011024069536949604,0.009877526307593063,0.008728482953050242,0.007579676935431594,0.00698583408592221,0.006722513137707214,0.0064600848293441746,37.609799349891134,35.53546791536752,33.116401281502746,30.87816289927512,28.80440276398119,26.879760302110174,25.08887494015137,23.416386104594014,21.84693322192738,20.365155718640736,18.955541069153632,17.60174030581479,16.288394351536574,15.0006518670518,13.724533341101846,12.441044441792428,11.790803029977047,11.130754402235645,10.457383948865468,10.102239987115219,9.942929920771032,9.782933230861325,5.362181599934896,-0.015283435937332494,0.39798830950391373,0.09108550551657875
6000.0,6.0,88.0,0.01791140951306109,0.0207172671695759,0.02344339222459184,0.025364781928136536,0.026552839165207655,0.027077726587766037,0.02700960684777254,0.026418642597188024,0.025374996487973336,0.02394883117208933,0.022210103013597243,0.02022733498035837,0.018070217366939475,0.01580983126510681,0.013519366694467941,0.011263290010862287,0.010169033654321523,0.00910711769632749,0.008085032498150822,0.007574078658569943,0.0073516227193867,0.007132553572049307,52.990682536450365,47.17268581403176,40.7440625099662,35.20043166379609,30.47699792158543,26.511677713760253,23.242387470746642,20.607043622970654,18.543562600858355,16.989860834835817,15.883755230596224,15.162865212294559,14.765831174769826,14.63103992180773,14.696157153271695,14.899137136681464,15.033121849685047,15.178685998649213,15.328207601131998,15.40460264573713,15.437894767418992,15.470579807389667,5.368073775370916,-0.004300666696993479,0.24985713020735906,0.09646184866627057
5500.0,15.0,88.0,0.01691854854863604,0.020895201783960385,0.024608003063100008,0.0270512319576785,0.028367223509582,0.02869658357189218,0.028179917997690793,0.026957832640059534,0.02517093335208011,0.022959825986834242,0.020464830924179115,0.01782451750396974,0.015179551736820052,0.012672474143561926,0.010447597214006003,0.008641404459704023,0.00793987741469693,0.0073967327311746595,0.007031712991873369,0.006919842663422134,0.0068882169634147256,0.006868154318965748,40.42977066304863,37.534949843265025,34.24006366342554,31.27926911112687,28.62095549571973,26.234878282351247,24.09079293616862,22.158454922319013,20.40761970594959,18.808042752207534,17.32932209427,15.940215893085877,14.610505279991614,13.310407715116288,12.01098366468852,10.678122136624006,9.988593585164269,9.276780097708006,8.536920763476946,8.140762151530994,7.961669176815887,7.780926118606031,4.201777063806852,-0.029780931983259505,0.35696611300821435,0.06413570082125565
4000.0,15.0,88.0,0.021281873897213685,0.021984725782141144,0.022681458499033656,0.02317180413323002,0.023452031561185083,0.023518095428554583,0.02336595038099429,0.022991551064159982,0.022390852123707398,0.02155980820529231,0.020494243435876414,0.019188956061445727,0.017639158256667134,0.015840854113047063,0.013792065367536601,0.011482495918633014,0.010226430477181163,0.00889859484469952,0.007494601362765475,0.006735990406830303,0.006391935849357754,0.006044165035850854,48.195050421869055,43.14896404882029,37.66462830109839,33.03029002568148,29.16940446345043,26.007761796290517,23.47115220608705,21.485365874725318,19.976192984090613,18.869423716068248,18.09077778942258,17.565797965136973,17.22060314035465,16.981039463874417,16.772711867823872,16.52019307357976,16.35352641216746,16.146547969229466,15.888509068124003,15.731047518740159,15.655302416265632,15.575944747684755,2.3599289168914157,-0.005796988687749641,0.23626779145609664,0.04338122216674189
6500.0,15.0,82.0,0.015299248366243209,0.01848225515566257,0.021646600699125045,0.023968885144552615,0.025520631279651346,0.026371941894892816,0.026592919780748653,0.026253667727690454,0.025424288526189828,0.024174884966718373,0.022575366823430247,0.020694247271593132,0.018601061459053648,0.016366722175929542,0.014064333815893715,0.01175818263385004,0.01062442904277233,0.009513169615992264,0.008431629975711135,0.007885802215132999,0.007646945728901835,0.007410945394352218,44.44141179535523,41.14929115520185,37.37457625793558,33.96078257761204,30.88442762725314,28.123588061468144,25.656340534866334,23.460761702056978,21.51492821764934,19.7969167362527,18.284647767154194,16.9553153379022,15.787312982684973,14.759392540981732,13.850660710139294,13.036754277473321,12.658123911655288,12.293990287034365,11.940973660442179,11.761421514962146,11.682228838545527,11.603488673714851,6.975911358992259,-0.00959958328846066,0.5757173668342148,0.11819539194305738
4000.0,9.0,88.0,0.014764015609307964,0.017841389345312427,0.020902044889482437,0.0231499381258824,0.024654094213281647,0.025482165199915502,0.02570180313401932,0.02538066006382845,0.024586388037578222,0.023386639103503987,0.021848879677509994,0.02003923197928396,0.018024800250702647,0.01587401573088068,0.013657420910435024,0.011437068920626549,0.01034549527876302,0.009275605325511815,0.008234376872540358,0.007708920086452264,0.0074789852555955365,0.0072518048261442855,52.687815506802366,46.89890717300121,40.53047728445909,35.06926670724395,30.445996477921522,26.59408069857356,23.446933471281852,20.93796889812817,19.000601081194286,17.568244122561975,16.57422427769479,15.951721298795592,15.63482272768579,15.557312493370523,15.652263823631351,15.853104583042144,15.972514050591965,16.09359537584972,16.207932010862002,16.26160617742821,16.283774904235656,16.30471027976303,2.302463538448016,-0.015327139955631234,0.17148141002956738,0.041556196799501774
6000.0,6.0,88.0,0.01593320055615652,0.017275965796063362,0.01868257742303812,0.019789535728539247,0.0206012651596646,0.021121577230830867,0.02135428345645478,0.02130319535095304,0.02097212442874237,0.02036488220423947,0.019485168354326822,0.018335737629728167,0.016919621895756246,0.015240630926251629,0.013304555579232286,0.01110932750173587,0.009913615874548408,0.008649759144245206,0.007314583817443696,0.006593934352213805,0.006267313454728227,0.005937313824974123,43.23380962380312,38.82636943500888,34.03505487922327,29.977907491562306,26.580528983646552,23.77056028653185,21.47564233127409,19.62341604892915,18.141522370552902,16.957602227201228,15.99920068744483,15.193428594440139,14.467974452742068,13.75047883284902,12.968968155351185,12.048088319839877,11.511446394653614,10.909853940905123,10.231604512607971,9.846106143126965,9.666749590806855,9.482553763443043,4.82941288749377,0.004885105239191034,0.17913285368388945,0.07595625709121426
