model,best_epoch,best_test_loss,final_mae,r2,sigma_error_corr,time_s,epochs
DNN-MSE,1227,0.004124019294977188,0.03559436276555061,"[0.9997368454933167, 0.9985215067863464, 0.9848811030387878, 0.999744713306427]",,648.6438357830048,1500
MLP+LIFT-NLL,1488,-6.317802906036377,0.03555215522646904,"[0.999851405620575, 0.9986440539360046, 0.9806594252586365, 0.9998577833175659]",0.5669933277919114,953.9676580429077,1500
