epoch,train_loss,test_loss,test_mae,sigma_error_corr
1,0.9665465156237284,0.9121443033218384,0.7870520949363708,
2,0.8515890373124017,0.7720538973808289,0.7254980802536011,
3,0.6918830275535583,0.6182836890220642,0.6514104008674622,
4,0.5648416943020291,0.5079904198646545,0.5862422585487366,
5,0.44069094790352714,0.3649275600910187,0.496035635471344,
6,0.2702348828315735,0.17984159290790558,0.3414612114429474,
7,0.11428961737288369,0.0919240415096283,0.21992187201976776,
8,0.08427322987053129,0.07279973477125168,0.19259947538375854,
9,0.058700759377744466,0.057940542697906494,0.17137384414672852,
10,0.05087092353238,0.05105893686413765,0.15953560173511505,
11,0.04307617495457331,0.04532335326075554,0.1502985805273056,
12,0.038979230655564204,0.04125841706991196,0.14203456044197083,
13,0.03540597152378824,0.03789414092898369,0.13542728126049042,
14,0.03249861320687665,0.03526259586215019,0.1299740970134735,
15,0.030194286050068006,0.03307067230343819,0.12513422966003418,
16,0.02833021121720473,0.031104015186429024,0.12051329761743546,
17,0.026719806922806635,0.029446866363286972,0.11611124128103256,
18,0.0253496321125163,0.028243020176887512,0.11276086419820786,
19,0.02411417828665839,0.026921799406409264,0.10911203175783157,
20,0.02306424371070332,0.02604905143380165,0.10627497732639313,
21,0.02219219899011983,0.02493979036808014,0.10273374617099762,
22,0.021561465743515227,0.024261852726340294,0.10044325888156891,
23,0.021026287641790178,0.023592328652739525,0.09780411422252655,
24,0.02050108193523354,0.023082220926880836,0.09610533714294434,
25,0.020097608781523175,0.022704241797327995,0.09450124949216843,
26,0.019684114596909948,0.022063160315155983,0.09293221682310104,
27,0.019263279520803027,0.02174222096800804,0.09137231111526489,
28,0.018971741406453982,0.02139655500650406,0.09058161824941635,
29,0.01866892021563318,0.02110874094069004,0.08964964747428894,
30,0.018400803208351135,0.02081155963242054,0.08872603625059128,
31,0.018139020022418764,0.02065342105925083,0.08831794559955597,
32,0.018008230047093496,0.020295631140470505,0.08691723644733429,
33,0.01782613516681724,0.020048368722200394,0.08656054735183716,
34,0.01752902443210284,0.01986173540353775,0.08592743426561356,
35,0.017341240412659116,0.019697120413184166,0.08546225726604462,
36,0.017131777066323493,0.01942993886768818,0.0845201388001442,
37,0.017060490945974987,0.019147347658872604,0.084229975938797,
38,0.01680847050415145,0.019045328721404076,0.08358489722013474,
39,0.0165633683403333,0.01880577951669693,0.08324752748012543,
40,0.01641993121140533,0.018484516069293022,0.08243018388748169,
41,0.016244741156697273,0.018264617770910263,0.08169382065534592,
42,0.015946765430271626,0.01794249936938286,0.08081093430519104,
43,0.01571553283267551,0.01770651713013649,0.08046336472034454,
44,0.015529399323794577,0.017484571784734726,0.07978101819753647,
45,0.015340843548377356,0.017162231728434563,0.07926993072032928,
46,0.01495843618694279,0.016865940764546394,0.07842033356428146,
47,0.014678006267382039,0.016532640904188156,0.07758789509534836,
48,0.014434213646584086,0.016129430383443832,0.07659655064344406,
49,0.01409633219656017,0.0157699566334486,0.07585671544075012,
50,0.013707686940001117,0.015459426678717136,0.07505716383457184,
51,0.013367696044345697,0.015124097466468811,0.07396865636110306,
52,0.012904132095475992,0.014387703500688076,0.0721404179930687,
53,0.012511644926336076,0.014074507169425488,0.07158951461315155,
54,0.01202130586736732,0.013628894463181496,0.0702887549996376,
55,0.011653256499105029,0.013121986761689186,0.06915798038244247,
56,0.011126569989654753,0.012592274695634842,0.06767510622739792,
57,0.010566062914828459,0.011908704414963722,0.06620823591947556,
58,0.010009643311301867,0.011446064338088036,0.0645880475640297,
59,0.009484963284598457,0.010727469809353352,0.06299000978469849,
60,0.008918078202340338,0.010244191624224186,0.061317142099142075,
61,0.008399673944546117,0.00969158299267292,0.05992484092712402,
62,0.007917554686880775,0.009128238074481487,0.05849691852927208,
63,0.007555558656652768,0.008756275288760662,0.0573420487344265,
64,0.007233714684844017,0.008406447246670723,0.056504927575588226,
65,0.006928267216102945,0.008118757978081703,0.05511407181620598,
66,0.006628384658445914,0.007732699159532785,0.054058987647295,
67,0.006419630772951577,0.00764105748385191,0.05401177331805229,
68,0.006326339207589626,0.007655390538275242,0.05436864495277405,
69,0.0062842173501849174,0.007433825638145208,0.05315784364938736,
70,0.006108304175237815,0.007130804937332869,0.05190115422010422,
71,0.005892324364847607,0.007055053021758795,0.05149805545806885,
72,0.005800306227886015,0.006957702804356813,0.051207758486270905,
73,0.005691193509846926,0.006815917324274778,0.05068765580654144,
74,0.005610989510185189,0.00681360624730587,0.05046967789530754,
75,0.005612679705437686,0.0067751528695225716,0.05031852051615715,
76,0.005592228586061133,0.006731858942657709,0.05024147778749466,
77,0.005540349158561892,0.006669769529253244,0.04991850629448891,
78,0.005471095391031768,0.006616591010242701,0.049689531326293945,
79,0.005410566098160214,0.006543989758938551,0.049482062458992004,
80,0.005347591359168291,0.006641744635999203,0.04959337040781975,
81,0.005335990080816878,0.006569983903318644,0.04965280741453171,
82,0.005350599324123727,0.006554208230227232,0.04942338913679123,
83,0.0052641940613587694,0.006461677141487598,0.04898596554994583,
84,0.005292212642315362,0.006409971509128809,0.0486585758626461,
85,0.005204576067626476,0.006388162728399038,0.04840146750211716,
86,0.005202523691372739,0.006364129949361086,0.04861060157418251,
87,0.005175657570362091,0.006385477259755135,0.04848537594079971,
88,0.005113958018935389,0.0062811789102852345,0.04797055199742317,
89,0.005105123699953158,0.006238515488803387,0.0477578341960907,
90,0.005114236587865485,0.006276594940572977,0.047872330993413925,
91,0.00511119214610921,0.006322609260678291,0.04795170575380325,
92,0.005042547773983743,0.006167019251734018,0.047333382070064545,
93,0.00499549104521672,0.006162072531878948,0.04729563742876053,
94,0.004990501639743646,0.006134084891527891,0.04749641567468643,
95,0.00499249239348703,0.006163368932902813,0.04703548923134804,
96,0.004974298851771487,0.0061692544259130955,0.04694313183426857,
97,0.004888708599739605,0.00607382133603096,0.04675326868891716,
98,0.0048903169938259656,0.006154578644782305,0.04710401967167854,
99,0.004914647951308224,0.0060602291487157345,0.046993523836135864,
100,0.004885118040773604,0.006052460987120867,0.04704543948173523,
101,0.0048842340604298646,0.006074068136513233,0.047506485134363174,
102,0.004856072262757354,0.006062157917767763,0.04680551588535309,
103,0.004852062660372919,0.005969719495624304,0.04672226682305336,
104,0.004838984459638596,0.0061255344189703465,0.0467979833483696,
105,0.004836523594955604,0.005962505470961332,0.04625926539301872,
106,0.004838703303701348,0.006028002593666315,0.046355463564395905,
107,0.004709911739660634,0.005942972376942635,0.04618417099118233,
108,0.004714734127951993,0.006042941939085722,0.04673377797007561,
109,0.004746846802946594,0.005927239079028368,0.04590775445103645,
110,0.0047072722680038875,0.005887820851057768,0.04603157564997673,
111,0.0047040642239153385,0.005880909506231546,0.0458291657269001,
112,0.00468273295296563,0.005934969987720251,0.045890744775533676,
113,0.0046685510832402445,0.005875858012586832,0.04615816846489906,
114,0.004666693094703887,0.0059350598603487015,0.047097690403461456,
115,0.00467758687833945,0.005851367022842169,0.0460008904337883,
116,0.004608290166490608,0.005828492809087038,0.04556121304631233,
117,0.004555951312391294,0.005902126431465149,0.045995257794857025,
118,0.0045752910276254015,0.005754731595516205,0.045192062854766846,
119,0.0045722853392362595,0.005796894896775484,0.04522239416837692,
120,0.0045288266200158335,0.005787426605820656,0.04532180353999138,
121,0.004532746970653534,0.005829999689012766,0.045304086059331894,
122,0.0044953540588418646,0.005844094790518284,0.0455365851521492,
123,0.004532442324691349,0.005754637997597456,0.04526778310537338,
124,0.004541282542049885,0.005856345873326063,0.046223290264606476,
125,0.00455776612377829,0.005922195967286825,0.04590765759348869,
126,0.00459451906176077,0.005834589712321758,0.045617178082466125,
127,0.0045581297017633915,0.00572521286085248,0.04494728147983551,
128,0.004472064578698741,0.00569037813693285,0.04495716467499733,
129,0.004450699935356776,0.005755677353590727,0.04508817195892334,
130,0.004521285804609458,0.005855299532413483,0.0452953539788723,
131,0.004499544544766347,0.005683213472366333,0.04480443522334099,
132,0.004454259243276384,0.00576016353443265,0.045354198664426804,
133,0.00446062736834089,0.005698976572602987,0.044640619307756424,
134,0.004445485718962219,0.005645301658660173,0.04469402879476547,
135,0.004384556630005439,0.005693241022527218,0.04492608457803726,
136,0.004372746424956454,0.0055548567324876785,0.0442848801612854,
137,0.004435734564645423,0.005594032350927591,0.044201213866472244,
138,0.00437536168222626,0.005683551542460918,0.04483746364712715,
139,0.004355299855685896,0.0056812455877661705,0.044567596167325974,
140,0.004337309911433194,0.005662465468049049,0.04466537758708,
141,0.004340153239253495,0.005558809265494347,0.04427987337112427,
142,0.0043213851749897,0.0055468822829425335,0.043965697288513184,
143,0.004271507159703308,0.005532662849873304,0.043784670531749725,
144,0.004255916664583815,0.005449775140732527,0.04361152648925781,
145,0.004243520347194539,0.005535725504159927,0.044102270156145096,
146,0.004271364926050107,0.005631356965750456,0.04474729672074318,
147,0.004300648450023598,0.005638051312416792,0.04423987865447998,
148,0.004311818836463822,0.005548488348722458,0.04411251097917557,
149,0.004233869465274943,0.005640851799398661,0.04465460777282715,
150,0.004263629878146781,0.005519227124750614,0.04344261810183525,
151,0.004241351866059833,0.005671988241374493,0.04454222694039345,
152,0.004286670746902625,0.005481524392962456,0.04373230040073395,
153,0.0042008876076175105,0.005462586879730225,0.04351883381605148,
154,0.004210366401821375,0.005437919870018959,0.04309196025133133,
155,0.004162008615417613,0.005559505429118872,0.04396536946296692,
156,0.0041908820987575585,0.005462468136101961,0.04324749857187271,
157,0.004070452492063244,0.005520125851035118,0.04349067062139511,
158,0.0041233927477151155,0.005567047744989395,0.04361965134739876,
159,0.004168571438640356,0.005439558532088995,0.04317285865545273,
160,0.004120114880303542,0.005479747429490089,0.04343416169285774,
161,0.004112997144046757,0.005475688260048628,0.043126508593559265,
162,0.0041084605683055185,0.005391199607402086,0.04269617795944214,
163,0.00405541820348137,0.005546126049011946,0.043729912489652634,
164,0.004106999762977163,0.005431285593658686,0.04306843876838684,
165,0.00408491743211117,0.005441039334982634,0.04304436594247818,
166,0.00408257187033693,0.005615359637886286,0.04371653497219086,
167,0.004107943192745249,0.005401185713708401,0.04286186397075653,
168,0.004050546403353413,0.005381502211093903,0.04277830570936203,
169,0.004033651694448458,0.005394855048507452,0.043009694665670395,
170,0.0040445818772746455,0.005455830134451389,0.043221376836299896,
171,0.004098282428458333,0.005522589664906263,0.04324297606945038,
172,0.004051248801665174,0.005300607532262802,0.0423065647482872,
173,0.004009600547659729,0.005311586428433657,0.04290221631526947,
174,0.004057876946818497,0.005379414185881615,0.04312033951282501,
175,0.004007433541119099,0.005326705984771252,0.04319930449128151,
176,0.004037262173369527,0.005333254113793373,0.04259645938873291,
177,0.004003265846727623,0.005337969865649939,0.04259398952126503,
178,0.004000329955791433,0.005387740675359964,0.04288538172841072,
179,0.004004279280909234,0.00527532771229744,0.04198466241359711,
180,0.003993201198884183,0.0053246840834617615,0.04239241033792496,
181,0.003980359605823954,0.005353866145014763,0.042790912091732025,
182,0.00395731651224196,0.0053610787726938725,0.042071979492902756,
183,0.004032004831565751,0.005300068762153387,0.042210839688777924,
184,0.003966672552956475,0.005261254031211138,0.042202215641736984,
185,0.003954077294717233,0.005262386053800583,0.04262740537524223,
186,0.003953466761029429,0.005418420769274235,0.042595867067575455,
187,0.004073302080440853,0.005508048925548792,0.04414059966802597,
188,0.004032405403753121,0.0054067266173660755,0.0422513484954834,
189,0.004020642023533583,0.005390996113419533,0.042398273944854736,
190,0.0039846933343344266,0.005399342626333237,0.042960215359926224,
191,0.003911182672406237,0.005358370952308178,0.04211348667740822,
192,0.003928726332055198,0.005241310689598322,0.04206783324480057,
193,0.003896326861447758,0.005150406621396542,0.0416080504655838,
194,0.0038485125276363557,0.005155463237315416,0.04187491163611412,
195,0.003873097813791699,0.0052421861328184605,0.042100004851818085,
196,0.003835834666258759,0.0051741935312747955,0.04152393713593483,
197,0.003844460731165277,0.005396341439336538,0.04240506887435913,
198,0.003910239734169509,0.0051857177168130875,0.04184644669294357,
199,0.00390121767607828,0.005174353718757629,0.04165428504347801,
200,0.0038349335599276754,0.005225358530879021,0.04196634516119957,
201,0.003826859381256832,0.005142586305737495,0.04158053919672966,
