trial,n_experts,hidden_dim,shared_dim,lr,weight_decay,balance_weight,smooth_weight,best_epoch,best_test_loss,final_mae,r2_T,r2_H,r2_My,r2_Q,time_s
2,2,64,64,0.001,0.0001,0.0,0.01,287,-9.420356750488281,0.03554890677332878,0.9997861981391907,0.9986157417297363,0.984904408454895,0.9998279809951782,34.336387157440186
3,8,128,64,0.0005,0.0001,0.01,0.01,203,-8.687952041625977,0.04777534306049347,0.9984462857246399,0.9970438480377197,0.9871894121170044,0.9982988834381104,90.50892210006714
1,2,128,64,0.0005,0.001,0.0,0.0,278,-7.367043972015381,0.07646854966878891,0.9985761046409607,0.9942562580108643,0.9351332187652588,0.9990739226341248,37.759448766708374
0,8,64,32,0.001,0.001,0.0,0.0,203,-6.013965606689453,0.18259365856647491,0.9501142501831055,0.9582715630531311,0.9296839237213135,0.9522624611854553,67.75681900978088
